,title,recommended_movies
9718,Until September,"['The Girl', 'Old San Francisco', 'Snow days', 'The Last Time I Saw Paris', 'A Little Romance']"
9719,Night and the City,"['...All the Marbles', 'Ready to Rumble', 'The Girl', 'No Holds Barred', 'The Proprietor']"
9720,Frozen Land,"['Cat on a Hot Tin Roof', 'American Heart', 'Kabhi Khushi Kabhie Gham', 'Raining Stones', 'The Lost Weekend']"
9721,Big Girls Don't Cry,"['Kids World', 'The Heart Is a Lonely Hunter', 'Goodbye, Columbus', ""Girls Can't Swim"", 'Because of Winn-Dixie']"
9722,White Banners,"['Next of Kin', 'Little Boy Blue', 'Follow Me, Boys!', 'Scorchers', 'Sons and Lovers']"
9723,Night Watch,"['Blade: Trinity', 'Pitch Black', 'Onmyoji: The Yin Yang Master', 'Nadja', 'Daredevil']"
9724,Dot the I,"['The Low Down', 'Buddy Boy', 'Pastoral Symphony', 'Miranda', 'Strangers When We Meet']"
9725,Sister Helen,"[""It's All True"", ""Long Night's Journey Into Day"", 'In the Mirror of Maya Deren', 'Fahrenhype 9/11', 'Best Boy']"
9726,Bright Leaves,"['Best Boy', 'Something to Sing About', 'American Movie', ""Curtis's Charm"", 'The Corporation']"
9727,Topper Returns,"['Topper', 'Candyman: Farewell to the Flesh', 'Lured', ""River's Edge"", 'Snow days']"
9728,Sons of the Desert,"[""L'associé"", 'Snow days', 'After the Sunset', 'Beautiful Joe', 'A Boy Called Hate']"
9729,Morocco,"['Gay Purr-ee', 'Between Strangers', 'The Girl', 'Jerry and Tom', 'Some Girl']"
9730,Surplus: Terrorized Into Being Consumers,"['Document of the Dead', 'Life and Debt', ""It's All True"", 'In the Mirror of Maya Deren', 'Fahrenhype 9/11']"
9731,Man of the House,"['Extreme Prejudice', 'Bring It On Again', 'Lone Wolf McQuade', 'Dazed and Confused', 'Cobra']"
9732,Samson and Delilah,"['The Girl', 'The Proprietor', 'Slaves of New York', 'Zebrahead', 'The Last Tycoon']"
9733,Kung Fu Hustle,"['Once Upon a Time in China III', 'Samouraïs', 'Kung Pow: Enter the Fist', 'The North Avenue Irregulars', 'Night Crossing']"
9734,Shark Skin Man and Peach Hip Girl,"['Monday', 'When Strangers Appear', ""Von Ryan's Express"", 'The Chase', 'Pierrot le Fou']"
9735,The Five People You Meet In Heaven,"['Benji: Off the Leash!', 'Heaven Can Wait', 'The Inheritance', 'Spin', 'Merlin']"
9736,"No Retreat, No Surrender","['Essex Boys', 'The Subject Was Roses', 'Back to School', 'Big Fat Liar', 'Blank Check']"
9737,The ChubbChubbs!,"['Mutant Aliens', 'Cabbage Soup', 'The Brother from Another Planet', 'She Done Him Wrong', 'The Adventures of Buckaroo Banzai Across the 8th Dimension']"
9738,Travellers and Magicians,"['Charlotte Sometimes', ""What's Eating Gilbert Grape"", 'The Shipping News', 'Honeysuckle Rose', 'Why Has Bodhi-Dharma Left for the East?']"
9739,Želary,"['Divided We Fall', 'The Umbrella Woman', 'Possible Loves', 'Time Out', 'Enemies: A Love Story']"
9740,Dragonworld,"['How to Get Ahead in Advertising', 'Sweet Nothing', 'Boys', 'Stripes', 'Stealing Harvard']"
9741,Dr. Giggles,"['Penitentiary II', 'Commandments', 'Hard to Kill', 'The Bachelor', 'Honeysuckle Rose']"
9742,The Corn Is Green,"['Stand and Deliver', 'To Sir, with Love', 'Home Room', ""The Children's Hour"", 'Blackboard Jungle']"
9743,The Seven-Per-Cent Solution,"['Without a Clue', 'The Private Life of Sherlock Holmes', 'They Might Be Giants', 'The Woman in Green', 'Murder by Decree']"
9744,The Three Musketeers,"['The Three Musketeers', 'The Four Musketeers', 'The Three Musketeers', 'The Man in the Iron Mask', 'The Musketeer']"
9745,Royal Flash,"['Snow days', 'It Had to Be You', 'Afterglow', ""I'm No Angel"", 'The Mark of Zorro']"
9746,Masculin Féminin,"['My Wife Is an Actress', 'The Buddy Holly Story', 'Stolen Kisses', 'French Cancan', 'Children of Paradise']"
9747,Fallen Angel,"['The Locusts', 'It Had to Be You', 'Under the Cherry Moon', 'Déjà Vu', 'Rare Birds']"
9748,The Four Feathers,"['The Four Feathers', 'Maze', 'Wilson', 'The Truman Show', 'Stardust Memories']"
9749,The Phone Box,"['Lugares comunes', 'Bird of Prey', 'Not Love, Just Frenzy', 'Und keiner weint mir nach', 'Diebinnen']"
9750,Night of the Demon,"['The Woman in Green', 'The Convent', 'Phantasm', 'Charly', 'Mr. Arkadin']"
9751,Control,"['Time of the Gypsies', 'Hugo Pool', 'Buffet Froid', 'Crimewave', ""Jason's Lyric""]"
9752,Beautiful City,"['Commandments', 'Colonel Chabert', 'Son of the Bride', 'Teddy Bear', 'Lost Embrace']"
9753,Five Times Two,"['Beau Pere', ""L'eclisse"", ""Jason's Lyric"", 'The Keys to the House', 'Seeing Other People']"
9754,Tart,"['Snow Day', 'The Last Days of Disco', ""Jesus' Son"", 'Outside Providence', 'I Love You, I Love You Not']"
9755,Bed and Board,"['The Superwife', 'Stolen Kisses', 'Manhattan', 'Judy Berlin', 'The Party']"
9756,Germany Year Zero,"['Intervista', 'The Tin Drum', 'Twenty Days Without War', 'Rome, Open City', 'House of Fools']"
9757,Tombs of the Blind Dead,"['Sword of the Valiant: The Legend of Sir Gawain and the Green Knight', 'Silent Night, Bloody Night', 'Children of the Corn III: Urban Harvest', 'Curse', 'Demons']"
9758,The Sicilian Clan,"['Le Cercle Rouge', 'Rififi', 'The Getaway', 'The Score', 'White Heat']"
9759,Love Me Tonight,"['Snow days', 'Pajama Party', 'Pie in the Sky', 'A Little Romance', 'The Triumph of Love']"
9760,A Hole in My Heart,"['Jönssonligan & DynamitHarry', 'Songs from the Second Floor', 'Stardust Memories', 'The Blade', 'All the Little Animals']"
9761,Bigger Than the Sky,"['The Truman Show', 'The Low Down', 'Alfie', 'Hollywood Shuffle', 'Maze']"
9762,Diary of a Mad Black Woman,"['Enemies: A Love Story', 'Hush', 'Yanks', 'Ironweed', 'The Last Time I Saw Paris']"
9763,Cursed,"['Dark Wolf', 'An American Werewolf in London', 'All the Rage', 'Wolf', 'My New Gun']"
9764,Up and Down,"['Superbabies: Baby Geniuses 2', 'Baby Geniuses', 'Three Men and a Baby', ""Baby's Day Out"", 'Immediate Family']"
9765,Gory Gory Hallelujah,"['The Waiting Game', 'The Clock', 'WiseGirls', 'The Wild One', 'Civil Brand']"
9766,The Pacifier,"['Parenthood', 'Mr. Nanny', 'House Party', 'It Runs in the Family', 'Uncle Nino']"
9767,Be Cool,"['The Merry Widow', 'In the Good Old Summertime', 'The Band Wagon', ""That's Entertainment! III"", 'Victor/Victoria']"
9768,Gunner Palace,"['The Young Lions', 'We Were Soldiers', 'Saints and Soldiers', 'Midway', 'Regeneration']"
9769,Walk on Water,"['Mephisto', 'American Me', 'Honeysuckle Rose', 'Wilson', 'Cast a Giant Shadow']"
9770,Hostage,"['The Negotiator', 'Benji: Off the Leash!', 'Honeysuckle Rose', 'Donnie Brasco', 'The Clearing']"
9771,Robots,"['Short Circuit', 'Little Nemo: Adventures In Slumberland', 'Patlabor: The Movie', 'Runaway', 'RocketMan']"
9772,The Laughing Policeman,"['The Naked City', 'The Big Easy', 'Laura', 'The Inquisitor', 'Frenzy']"
9773,Bopha!,"['Honeysuckle Rose', 'The Inheritance', 'Raining Stones', 'Sunrise at Campobello', 'Hard to Kill']"
9774,Class Action,"['Better Than Chocolate', 'Aberdeen', ""Jupiter's Wife"", 'From the Hip', 'My Cousin Vinny']"
9775,The Cat and the Canary,"['P.S. Your Cat Is Dead!', 'Honeysuckle Rose', 'The Bachelor', 'Colonel Chabert', 'How to Get Ahead in Advertising']"
9776,Courage Mountain,"['The Diary of Anne Frank', 'The Proprietor', 'Slaves of New York', 'Stardom', 'The Beguiled']"
9777,Kiss The Bride,"['The Amati Girls', 'The Proprietor', 'Slaves of New York', 'Mississippi Masala', 'Und keiner weint mir nach']"
9778,Godzilla vs. The Sea Monster,"['Mothra vs. Godzilla', 'Son of Godzilla', 'Godzilla vs. Mechagodzilla', 'King Kong vs. Godzilla', ""Godzilla's Revenge""]"
9779,Godzilla vs. Mechagodzilla II,"['Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack', 'Godzilla 2000', 'Godzilla vs. The Sea Monster', 'King Kong vs. Godzilla', 'Godzilla vs. Mechagodzilla']"
9780,That Championship Season,"[""Charlotte's Web"", 'Cocoon: The Return', 'Drunks', 'Lovers of the Arctic Circle', 'The Thing Called Love']"
9781,Crush,"['The Girl', 'Lovely & Amazing', 'Snow days', 'Semi-Tough', 'Past Midnight']"
9782,DNA,"['A Trip to the Moon', 'Contact', 'The Beast from 20,000 Fathoms', 'The Book of Fate', 'The Golem: How He Came Into the World']"
9783,The Low Life,"['Boys Life: Three Stories of Love, Lust, and Liberation', 'Under the Tuscan Sun', 'Mr. Destiny', 'Bar Girls', 'Free Willy 3: The Rescue']"
9784,Rendez-vous,"[""L'eclisse"", 'A Little Romance', ""L'imbalsamatore"", 'The School of Flesh', 'Happenstance']"
9785,"Oh, God! You Devil","['976-EVIL', 'Bedazzled', 'Vacuuming Completely Nude in Paradise', 'Bedazzled', 'The God of Cookery']"
9786,Amongst Friends,"[""River's Edge"", 'Lockdown', 'Rolling Thunder', 'Stand by Me', 'Mobsters']"
9787,Asfalto,"['Lugares comunes', 'Not Love, Just Frenzy', 'The Phone Box', 'Warriors', 'Extasis']"
9788,God Is Brazilian,"['All the Little Animals', 'Jeffrey', 'Ghoulies', 'Oh, God!', 'Get to Know Your Rabbit']"
9789,Captains of April,"['The Unknown Soldier', ""One Man's Hero"", 'The Horseman on the Roof', 'The Three Marias', 'A Talking Picture']"
9790,Blackball,"['Let It Come Down: The Life of Paul Bowles', 'Knockout', 'Honeysuckle Rose', 'How to Get Ahead in Advertising', 'Halfaouine: Boy of the Terraces']"
9791,The Agony and the Ecstasy,"['The Last Tycoon', 'Lust for Life', 'Portrait of Jennie', 'The Two Mrs. Carrolls', 'Anthony Adverse']"
9792,Return to Peyton Place,"['The Girl', 'The Proprietor', 'Slaves of New York', 'Ordinary Sinner', 'Fool for Love']"
9793,Butch and Sundance: The Early Days,"['Butch Cassidy and the Sundance Kid', 'Hombre', 'Sex Lives of the Potato Men', 'High Plains Drifter', 'Cruel Intentions 2']"
9794,It Happened to Jane,"['Snow days', 'Someone Like You...', 'If You Only Knew', 'Pie in the Sky', 'Poetic Justice']"
9795,Once Upon a Forest,"['Stuart Little 2', 'Creature Comforts', 'Stuart Little', 'Titan A.E.', 'The Fox and the Hound']"
9796,Hello Down There,"['Real Life', 'Soft Shell Man', 'Blank Check', 'The Million Dollar Duck', 'Parenthood']"
9797,All in a Night's Work,"['The Big Clock', 'Snow days', 'Man of the Year', 'The People vs. Larry Flynt', ""I'll Never Forget What's'isname""]"
9798,Twentieth Century,"['P.S. Your Cat Is Dead!', 'The Leading Man', 'How to Get Ahead in Advertising', 'Boomerang', 'Swingers']"
9799,My Sister Eileen,"['Inferno', 'Kiss Me, Guido', 'Josie and the Pussycats', ""Joe's Apartment"", 'Hello, Dolly!']"
9800,Strangers When We Meet,"['About Schmidt', 'The Diaries of Vaslav Nijinsky', 'Stardust Memories', 'Monsieur Verdoux', 'Housesitter']"
9801,Or (My Treasure),"['My Man', ""Virginia's Run"", 'The Piano Teacher', 'Love and Other Catastrophes', 'Divine Secrets of the Ya-Ya Sisterhood']"
9802,Chronicles,"['The Girl', 'Frisk', 'The First Deadly Sin', 'A Prayer for the Dying', 'Frenzy']"
9803,Lackawanna Blues,"['Chelsea Walls', 'Zebrahead', 'The City', 'The Winter Guest', 'Raising Helen']"
9804,The Green Berets,"['Apocalypse Now', 'Uncommon Valor', 'The Proprietor', 'Slaves of New York', 'The Walking Dead']"
9805,Elevator to the Gallows,"['The Postman Always Rings Twice', 'Late August, Early September', 'Le Samouraï', 'Le Samouraï', 'Pierrot le Fou']"
9806,The Diary of a Chambermaid,"['A Good Man in Africa', 'A Place in the Sun', 'Of Unknown Origin', 'The Eighth Day', 'The Magnificent Ambersons']"
9807,Violent Cop,"['Training Day', 'Postman Blues', 'Shakedown', 'Red Heat', 'Detroit 9000']"
9808,Four Shades of Brown,"['Honeysuckle Rose', 'A Hole in the Head', 'Spin', 'The Inheritance', 'The Story of the Last Chrysanthemum']"
9809,Brian's Song,"['The Proprietor', 'Slaves of New York', 'Semi-Tough', 'Wit', 'Barbarians at the Gate']"
9810,Thriller: A Cruel Picture,"['Theatre of Blood', 'I Spit on Your Grave', 'Rabid Dogs', 'The Sailor Who Fell from Grace with the Sea', 'Foxy Brown']"
9811,Cube Zero,"['Cube²: Hypercube', 'Cube', 'Night of the Living Dead', 'Retroactive', 'The Golem: How He Came Into the World']"
9812,Into the Sun,"['Double Take', 'The Yakuza', 'The Recruit', 'Tough and Deadly', 'Good Guys Wear Black']"
9813,Project Grizzly,"['Fahrenhype 9/11', 'American Movie', 'Stardust Memories', 'Commandments', 'Monsieur Verdoux']"
9814,Lumikuningatar,"['The Life of Aleksis Kivi', 'Resurrection of The Little Match Girl', 'The Cowboys', 'The Pirate Movie', 'Skins']"
9815,Julia,"['The Proprietor', 'Slaves of New York', 'Author! Author!', 'Divine Secrets of the Ya-Ya Sisterhood', 'Old Acquaintance']"
9816,Save the Green Planet!,"['Frankenstein Must Be Destroyed', 'Commandments', 'Colonel Chabert', 'Mirror', 'Raining Stones']"
9817,Stealing Rembrandt,"['The Hot Rock', 'Two If by Sea', 'Incognito', 'Once a Thief', 'Ordinary Decent Criminal']"
9818,A Snake of June,"['Warm Water Under a Red Bridge', 'When Will I Be Loved', 'The Girl', 'Under The Domim Tree', 'One True Thing']"
9819,Thirty Seconds Over Tokyo,"['The Man from Down Under', 'Mrs. Miniver', 'The White Cliffs of Dover', 'Torpedo Run', 'The Red Badge of Courage']"
9820,Vares: Private Eye,"['Sex Is Comedy', 'The Book of Fate', 'Harper', 'The Toxic Avenger Part III: The Last Temptation of Toxie', 'Ménage']"
9821,Girl Crazy,"['Second Chorus', ""It Happened at the World's Fair"", 'House Party 2', 'Victor/Victoria', 'Only the Lonely']"
9822,The 3 Penny Opera,"['The Apple', 'Joseph and the Amazing Technicolor Dreamcoat', 'Schultze Gets the Blues', 'Pennies from Heaven', 'In the Good Old Summertime']"
9823,The Boys from County Clare,"['The Apple', 'In the Good Old Summertime', 'Joseph and the Amazing Technicolor Dreamcoat', 'Only the Strong Survive', 'Pennies from Heaven']"
9824,Ice Princess,"['Hometown Legend', 'Ice Castles', 'The Proprietor', 'Slaves of New York', 'Good Morning']"
9825,Melinda and Melinda,"[""Jason's Lyric"", 'Sleep with Me', 'The Low Down', 'All Over the Guy', 'Take This Job and Shove It']"
9826,Milk and Honey,"['The Proprietor', 'Slaves of New York', 'Dark Days', 'The City', 'WiseGirls']"
9827,Miss Congeniality 2: Armed and Fabulous,"['Miss Congeniality', 'Slaughter of the Innocents', 'Mercury Rising', 'The Cowboy Way', 'Smile']"
9828,Guess Who,"['Snow days', 'My Big Fat Greek Wedding', ""Breakin' All the Rules"", 'A Night in the Life of Jimmy Reardon', 'Father of the Bride']"
9829,D.E.B.S.,"['Sudden Impact', 'Desert Hearts', 'Teenagers from Outer Space', 'The Big Combo', 'Johnny Dangerously']"
9830,A League of Ordinary Gentlemen,"['A Decade Under the Influence', 'Condo Painting', 'Forget Baghdad: Jews and Arabs - The Iraqi Connection', 'Burden of Dreams', 'In the Mirror of Maya Deren']"
9831,Incident at Loch Ness,"['Intervista', 'The State of Things', 'The Independent', 'King Kong', 'The Kentucky Fried Movie']"
9832,The River,"['Heat and Dust', 'Young Adam', 'Veer-Zaara', 'Iron Jawed Angels', 'Anthony Adverse']"
9833,Virginia's Run,"['Claire Dolan', 'Benji: Off the Leash!', 'Since Otar Left', 'Safe Passage', 'Ponette']"
9834,Yanks,"['The Unknown Soldier', 'The Story of G.I. Joe', 'Biloxi Blues', 'Midway', ""One Man's Hero""]"
9835,Paradise Alley,"['Empire', 'The War Is Over', 'The Santa Clause 2', ""Someone Else's America"", 'The Super']"
9836,The Seagull's Laughter,"['Better Living', 'Planta 4ª', 'Leather Jacket Love Story', 'The Candidate', 'Yours, Mine and Ours']"
9837,Wild Horses,"['Under The Domim Tree', 'Guantanamera', 'Bird of Prey', 'The Three Marias', 'The Anarchist Cookbook']"
9838,Woman Thou Art Loosed,"['Went to Coney Island on a Mission from God... Be Back by Five', 'The Proprietor', 'Slaves of New York', 'Down to the Bone', 'Lianna']"
9839,Arrowsmith,"['The Proprietor', 'Slaves of New York', 'Anna Karenina', 'The Omega Man', 'Things to Come']"
9840,Barbary Coast,"['Endless Love', 'Bootmen', 'The Grey Fox', 'Forget Paris', 'The Jacket']"
9841,Stella Dallas,"['Stella', 'How Stella Got Her Groove Back', ""Alexander's Ragtime Band"", 'Harper Valley P.T.A.', 'Come and Get It']"
9842,Free Radicals,"['Next Stop Wonderland', 'Deconstructing Harry', 'The Incredibly True Adventure of Two Girls In Love', 'Guantanamera', 'Love Finds Andy Hardy']"
9843,The Unfaithful,"['The Postman Always Rings Twice', 'Body Heat', 'The Girl', 'Chronicles', 'Mr. Arkadin']"
9844,Come and Get It,"[""The Razor's Edge"", 'Valmont', 'Enemies: A Love Story', 'The Girl', 'The Scent of Green Papaya']"
9845,Panic in the Streets,"['City By The Sea', ""River's Edge"", 'The Long Goodbye', 'The Exterminator', 'Striking Distance']"
9846,Call Northside 777,"['Falling in Love', 'The Naked Gun 33⅓: The Final Insult', 'Cowboy', 'Catch Me If You Can', 'This World, Then the Fireworks']"
9847,Young Törless,"['Zero for Conduct', 'Salò, or the 120 Days of Sodom', 'Garage Olimpo', 'Death and the Maiden', 'The Magdalene Sisters']"
9848,Bells Are Ringing,"[""That's Entertainment, Part II"", 'In the Good Old Summertime', 'Victor/Victoria', 'The Band Wagon', ""That's Entertainment! III""]"
9849,Finian's Rainbow,"['Honeysuckle Rose', 'Commandments', 'Carousel', 'North Star', 'Dudley Do-Right']"
9850,The Toolbox Murders,"['Halloween', 'Tenebre', 'Honeysuckle Rose', 'P.S. Your Cat Is Dead!', 'The Driller Killer']"
9851,The Sword of Doom,"['Samurai I: Musashi Miyamoto', 'Shogun Assassin', 'The Challenge', 'The Twilight Samurai', 'Sanjuro']"
9852,Deep Crimson,"['Bird of Prey', 'Monsieur Hire', 'A Man and a Woman', 'The Velocity of Gary', ""L'eclisse""]"
9853,800 Bullets,"['Star Maps', 'Honeysuckle Rose', 'The Inheritance', 'Kabhi Khushi Kabhie Gham', 'Penitentiary II']"
9854,Matango: Attack of the Mushroom People,"['Attack of the Crab Monsters', 'Godzilla', 'The Island of Dr. Moreau', 'Gappa, the Triphibian Monster', 'Mediterraneo']"
9855,Ebola Syndrome,"['Memories of Murder', 'Eating Raoul', 'Police Story', 'Novocaine', 'Beyond Hypothermia']"
9856,The Music of Chance,"['The Proprietor', 'Slaves of New York', 'Phoenix', 'Rounders', 'Endurance']"
9857,Tammy and the T-Rex,"['The Man with Two Brains', 'All About Lily Chou-Chou', 'The Substitute', 'Mad About Mambo', 'Across the Tracks']"
9858,Mixed Blood,"['Deuces Wild', 'Switchblade Sisters', 'The Warriors', 'Torque', 'West Side Story']"
9859,If Looks Could Kill,"['Gotcha!', 'Forget Baghdad: Jews and Arabs - The Iraqi Connection', 'Spy Hard', 'Captain Horatio Hornblower R.N.', 'The Adventures of Rocky & Bullwinkle']"
9860,Greedy,"['Better Living', ""L'associé"", 'Snow days', 'Honeymoon', 'The Château']"
9861,Carmen,"['Carmen', 'Belle Époque', 'Tango', 'The Velocity of Gary', 'Bootmen']"
9862,My Neighbors the Yamadas,"['Spider Baby', 'Dearest Relatives, Poisonous Relations', 'Eat Drink Man Woman', ""What's Cooking?"", 'Nil by Mouth']"
9863,Pom Poko,"['The Adventures of Milo and Otis', ""Clifford's Really Big Movie"", 'Creature Comforts', 'Princess Mononoke', 'Spirited Away']"
9864,Knockin' on Heaven's Door,"['New Jersey Drive', 'The Chase', 'The Love Bug', 'The Wrong Arm of the Law', 'Gone in Sixty Seconds']"
9865,City of Hope,"['Trees Lounge', 'A Rumor of Angels', 'The War Is Over', 'Auto Focus', 'Panic']"
9866,We're No Angels,"['Papillon', ""We're No Angels"", 'Mean Machine', 'Female Prisoner Scorpion: Jailhouse 41', 'No Escape']"
9867,Sons and Lovers,"['Benji: Off the Leash!', 'Our Hospitality', 'Winter Solstice', 'This World, Then the Fireworks', 'My Life So Far']"
9868,The Arrow,"['Fat Man and Little Boy', ""Long Night's Journey Into Day"", 'The Proprietor', 'Slaves of New York', 'Sacco & Vanzetti']"
